App_Name,Remarks,Sentiment,Score,Date_of_Remark,word_counts,char_counts,avg_wordlength,stopwords_counts
Gangster Game Crime Mafia City,"i can't rate the game as much, cause it bad, there are too much ads which i don't like and which make the game more boring, and the graphics are not too good, the sensitivity is too high, so i will tell you to upgrade more, because if you don't, people won't download it.......",LABEL_0,0.943871915,20-Apr-24,66,277,3.393939394,33
Gangster Game Crime Mafia City,too many ads thats why i am not playing this anymore,LABEL_0,0.965543687,27-Aug-24,11,52,3.818181818,6
Gangster Game Crime Mafia City,i play many games but this is the wrost game too too much ads,LABEL_0,0.619873106,10-Aug-24,14,61,3.428571429,7
Gangster Game Crime Mafia City,too many ad..you can play but too many ad make me feel this game bad,LABEL_0,0.92849946,12-Jul-24,17,68,3.176470588,7
Gangster Game Crime Mafia City,do not download waste of time .no game only ads.,LABEL_0,0.871038437,12-Jun-24,11,48,3.545454545,4
Gangster Game Crime Mafia City,"full of ads, remove those and you could have something phenomenal",LABEL_1,0.42258954,17-Jun-24,12,65,4.583333333,5
Gangster Game Crime Mafia City,this is most cheapest game in play store and lots of ads 10 out of 0.000,LABEL_2,0.713667274,24-Jul-24,16,72,3.5625,8
Gangster Game Crime Mafia City,a lot of ads very bad game never before i play such a bad,LABEL_0,0.958767295,14-Aug-24,14,57,3.142857143,7
Gangster Game Crime Mafia City,when you press one button it's an ad it's so annoying don't recommend,LABEL_0,0.979264855,29-Jul-24,16,69,3.5625,7
Gangster Game Crime Mafia City,too many ads,LABEL_0,0.820036232,1-Sep-24,3,12,3.333333333,1
Gangster Game Crime Mafia City,"worst game ever play ,too much ads totally disappointed ??????",LABEL_0,0.971295357,24-Aug-24,16,62,3.3125,1
Gangster Game Crime Mafia City,useless app!! this should be deleted from here. full of advertisements!!!!,LABEL_0,0.846006513,1-Sep-24,18,74,3.555555556,6
Gangster Game Crime Mafia City,the game has many ads and it is shady dont wast your time downloading the game,LABEL_0,0.927218914,14-Jul-24,16,78,3.9375,7
Gangster Game Crime Mafia City,"too much adds, every time you press something, and even when you try to enter no, and go back, it still gives you an add",LABEL_0,0.549894571,5-May-24,29,120,3.310344828,11
Gangster Game Crime Mafia City,"after every thing there is ad,, they said if you have to sit in car see an ad if you have to land a heli see a ad, they gave me option that if you have to pick up a weapon see a ad ,i caceled that offer and this game started an ad",LABEL_1,0.571711481,10-May-24,58,230,3.051724138,31
Gangster Game Crime Mafia City,"this game is very useless, every 30seconds there's advert, even if u want to drive a car there is advert. what kinda game is this",LABEL_0,0.963507771,25-May-24,29,129,3.620689655,12
Gangster Game Crime Mafia City,"every click you do, ads will appear immediately",LABEL_1,0.498296082,15-Aug-24,9,47,4.444444444,3
Gangster Game Crime Mafia City,don't download it. tooo much ads.,LABEL_0,0.9281407,18-Aug-24,9,33,3.111111111,2
Gangster Game Crime Mafia City,this is good but twooooo many ads,LABEL_2,0.622569144,16-Aug-24,7,33,3.857142857,3
Gangster Game Crime Mafia City,i love this game but why $7 to remove ads?,LABEL_2,0.709420085,19-Aug-24,12,42,2.75,5
Gangster Game Crime Mafia City,bad game and ads ads is bad i hate ads,LABEL_0,0.97936821,26-Aug-24,10,38,2.9,3
Gangster Game Crime Mafia City,full of ads,LABEL_0,0.789806426,11-Aug-24,3,11,3,1
Gangster Game Crime Mafia City,please do not downlod this game full of ads,LABEL_0,0.963304996,12-Aug-24,9,43,3.888888889,4
Gangster Game Crime Mafia City,this game is very worst game ads,LABEL_0,0.980062544,12-Aug-24,7,32,3.714285714,3
Gangster Game Crime Mafia City,nice game but has too much ads on it,LABEL_0,0.546264708,21-Aug-24,9,36,3.111111111,5
Gangster Game Crime Mafia City,contins lots of ads,LABEL_1,0.513893187,18-Aug-24,4,19,4,1
Gangster Game Crime Mafia City,ads after every 10 seconds,LABEL_1,0.753353655,21-Aug-24,5,26,4.4,1
Gangster Game Crime Mafia City,game is amazing i came to download this app because i see this game in triggered insaan channel and i like it so i download the app,LABEL_2,0.984954357,27-Aug-24,27,131,3.888888889,14
Gangster Game Crime Mafia City,game is osm but ads it boring,LABEL_0,0.911360741,30-Aug-24,7,29,3.285714286,3
Gangster Game Crime Mafia City,i can't play this game. because this game have many adda so many many many adds l like the graphics of theis game very low graphics but we can enjoy this game.plzzzzz stop this adds in this game.l loved this game but adds??,LABEL_0,0.359521657,22-Mar-24,47,223,3.85106383,18
Gangster Game Crime Mafia City,so many adds and the graphics are so ugly,LABEL_0,0.959504485,9-Aug-24,9,41,3.666666667,5
Gangster Game Crime Mafia City,so much ads in this game bruh (). .() () ( 1 rateing noob player,LABEL_1,0.611469865,31-Aug-24,20,64,2.5,3
Gangster Game Crime Mafia City,"don't even try to download this nonsense game, it's all just about ads nothing else, ads everywhere, you won't even play up to 10 seconds the next you are going to see is ads, please you need to solve this issue of the ads i came to download game not ads, absolutely rubbish so annoying and boring???? please nobody should try to download, because all you are downloading is ads?? please work on it and make it offline, i am even deleting it now",LABEL_0,0.971485913,16-May-24,100,445,3.62,40
Gangster Game Crime Mafia City,idont like this game everyday so lag and too much adds????????,LABEL_0,0.975580871,20-Aug-24,19,62,2.736842105,4
Real CricketÃÂ GO,"even though the game looks great and feels great, the mechanics of the game is not great. please do not waste storage on this game. the easiest mode of the game is soooo hard and computer oriented, i can't imagine hardcore. whenever i bowl, the computer always hits six. however when i bat, i always miss the ball or i get out. this game is not for those who want a simple and unbiased game. play this game only if you like to lose or if you want to watch the computer hit every ball perfectly. 0/10",LABEL_0,0.862189949,17-Aug-22,109,499,3.697247706,44
Real CricketÃÂ GO,"the game is good and it has all the features like set fielding, select your own team etc. but it has a very frustrating glitch that when you are playing a match , the game automatically exits and you again have to load the game and again when you will play two or three balls the home screen of your phone appears. i cannot play this game in a flow. it's a very good game but please game developers fix this problem .",LABEL_0,0.454026282,11-Aug-24,89,417,3.764044944,46
Real CricketÃÂ GO,i think it is good but if in 5 overs if you are chasing 40-60 odd your just give up cuz hundred times i lost like this it will make you think that you will win till the last 1 or 2 overs but then you loose. one perfect example is that i needed 14 in 6 i hit a six in the first ball so i need 8 in 5 then all of a sudden i lost with 4 runs. so if you want to download it just think about it so many my mood was off because of this. but overall it's great just chasing is a hell of a problem,LABEL_1,0.412662327,31-Jul-24,117,489,3.222222222,64
Real CricketÃÂ GO,nice game..!! but would love a practice mode for batting/bowling because as an beginner it's really hard to figure out that what will batsman do on this click or a bowler on this ball also will love a nerf to computer as their timing on shots are just perfect(playing for like 1 month but still not a single catch out from my side) it's really hard to to stop run rate at 7or8 in game and ya why always a 6 on no ball?and please make wicket taking easier a bit it's just sooo hard to take a wicket..,LABEL_2,0.631421506,14-Jul-24,111,499,3.612612613,50
Real CricketÃÂ GO,"this app is very realistic but graphics quality is low . there is one disadvantage , often times i try to hit a six but the fielder catches the ball . the scoop or supla shot is given less importance in this app . overall , if we see the size of the app , this is unexpected. let is see how the update will increase the downloads of this app .i will prefer this app to be useful.",LABEL_1,0.457670212,20-Jul-24,81,379,3.716049383,36
Real CricketÃÂ GO,the overall experience of the game is really good. i am surprised about the size and good performance of the game. but recently i am unable to do batting first. weather i win the toss or the opponent choose to do bowling first the game won't allow me to proceed further. i reinstalled and still the problem is present. to play the game i must let the opponent to choose batting first.,LABEL_1,0.408175677,25-Jul-24,79,384,3.962025316,35
Real CricketÃÂ GO,i think it's a very good game but you need to do little bit harder because every lofted shot is gone over the boundary. and you need to change bcoz the thing i seen 2 yrs ago all the things are same. so please made some update to make game intresting. thankyou.,LABEL_2,0.686539054,12-Jul-24,57,261,3.684210526,24
Real CricketÃÂ GO,good game but currently facing issue nowadays . after winning the toss if you choose to bat you can't proceed next . the button won't work . same like if opponent choose to bowl first you still can't press button and game would stuck at that point . it's frustrating,LABEL_0,0.789298236,20-Jul-24,54,266,4.018518519,16
Real CricketÃÂ GO,"this game is very worst. there are many problems, for example when i will win the toss i could not able to choose bat but opponent able to choose bat or bowl. in this game, the bowling system was so boring. opponent team hit boundry in every ball and i could not able to take a wicket.",LABEL_0,0.94849515,29-Jul-24,63,285,3.634920635,27
Real CricketÃÂ GO,"pathetic game with faulty bugs. i recently downloaded this game to play some cricket in free time.everything was going good,until i encountered a serious bug.whenever you choose to bat first or opponent choose to bowl first, the game won't proceed and it freezes. please fix this asap.",LABEL_0,0.867601693,20-Jul-24,54,285,4.425925926,18
Real CricketÃÂ GO,a good game created by nautilus but sometimes it becomes annoying when i bat.when i hit a lofted short it either goes for six or i get caught even if i hit in gap.if i hit a drive it never goes to boundary . bowling is too boring as i never get any wicket and the computer always hits the perfect shot even i easy mode,LABEL_0,0.834609687,2-Jul-24,66,318,3.833333333,28
Real CricketÃÂ GO,"the game is good but i request to developer to add some modes like test match, word cup 2024 and some new players in the squad. i also wants improve game graphics. please do these changes in games that's why i am facing problem, rest the game is good.",LABEL_2,0.648332894,29-Jun-24,55,251,3.690909091,21
Real CricketÃÂ GO,rules are very good and 3d images is blur but game is good but it will be more enjoyable when player enjoy after 50or century and player of the match announced after match trophy winning moments can add glorious to this game and may be more enjoyable to players who play this game .,LABEL_2,0.959913373,1-Sep-24,54,282,4.240740741,26
Real CricketÃÂ GO,"this is one of the noob game ever. while we betting first we can hit boundaries very easily but when we are chasing a small target like 150 we cannot hit single boundary in a over, the bowlers become very difficult. the batter of the opposite team are invincible. there is no use of easy, hard or expert mode because the batter can hit the boundaries very easily. before playing this game i think that this is the best cricket game but after playing this game i realise that this is the worst game",LABEL_0,0.557261646,17-Jul-24,101,497,4,51
Real CricketÃÂ GO,pakistan vs india match on rc go - unbeatable experience! i'm absolutely loving the rc go cricket mobile game! the latest pakistan vs india match i played was an unforgettable experience. i played as india and managed to chase down pakistan's massive target of 448 runs in the last over. the thrill of hitting a six on the last ball to win the match was exhilarating!,LABEL_2,0.981029093,20-Aug-24,73,367,4.136986301,24
Real CricketÃÂ GO,here are some improvements that i wish to see in the next update. humble request to the developers to add these features to make this game complete. 1. please provide 4s as well. every shot is a 6 in this game. 2. please add test cricket and world test championship in real cricket go. 3. please update the squad.,LABEL_2,0.744802535,18-Jul-24,68,313,3.75,22
Real CricketÃÂ GO,"this is the best cricket game ever i am having fun with this game and i am playing it on my phone,no one will make delete it, but i am having a little problem with it and the problem is that when i win the toss and elect to bat it deny or the other team wins the toss elect to bowl it deny to get to the match. so i don't know what is the problem in it but whatever it is please search what is holding it and fix it because i can't wait to bat first again against the other teams and win the match",LABEL_2,0.520956755,19-Jul-24,114,497,3.421052632,68
Real CricketÃÂ GO,the worst game ever the control are very hard and simply hitting wicket when i want shot a six the ball go on the fielder hand and when i do shot control perfect the ball go another way their is a issue when i ball out of line it wide i agree when the opponent ball out of line that is a ball how please fix this the worst game ever do not download thank you,LABEL_0,0.919085562,10-Aug-24,76,358,3.723684211,38
Real CricketÃÂ GO,"this is good game,good graphics but there is a problem when i play this game, then a massege came and then the game is turn off there are two options.one is ok and another one never ask.when i click an option then the massage came out.please solve it",LABEL_0,0.46377182,23-Jul-24,51,250,3.980392157,25
Real CricketÃÂ GO,i think that the game is very cool and good it is the best game ever seen for cricket rc go but when you come to good games there are also problems in like it can change stadiums and change the team names and more teams ipl and the best of all please spell jasprit bumrah correctly and more batting styles and it should have the career mode and multiplayer mode and rc lp just this much to say and i said is the best game i ever seen about cricket rc go is and less than 45 mb game and has good graph,LABEL_2,0.95099175,16-Jul-24,104,500,3.817307692,50
Real CricketÃÂ GO,"the cricket game is immensely enjoyable and holds a special place as my preferred game among all the offerings from nautilus. this creation delivers an unparalleled gaming experience, which i find truly satisfying.",LABEL_2,0.988573909,13-Aug-24,36,214,5.055555556,13
Real CricketÃÂ GO,ai feature of this game never allow to win..it restrict the score to under 60.. better to bat only and enjoy..??never give ai chance to bat.. ?? close cam mode while bowling umpire seems standing over the stumps???? and developers claims the best graphic cricket game on the playstore. why don't you hire potential engineers for development of this game and must know the true knowledge of cricket game ..for your kind information... india rules in real cricket world . ??????????,LABEL_1,0.48525995,12-Aug-24,107,480,3.738317757,30
Real CricketÃÂ GO,one of the wrost cricket game that i have ever played. i hope nobody will download this game. this game will just make you feel bored. thereis no good commentary while playing game. not only that we are not able to bat first and this game does not gives us vibe of cricket. it just a waste of our time to play game .so please i humble request you to not to play or even download this disatisfying game. even adds are emerge in between game. while bating also this game does not gives proper instruct,LABEL_0,0.94712925,27-Aug-24,103,499,3.922330097,46
Real CricketÃÂ GO,"this is the most impractical game .so i was defending 254 and the other team had 139/7 in 43 overs. but when i put autoplay the opposition won. it is not real cricket at all. plus if we put review, it will always favour the other team. would put zero star if could. ridiculous !!!",LABEL_0,0.610499263,13-Jul-24,63,280,3.587301587,28
Real CricketÃÂ GO,"worst experience. when ever i play this game i lose automatically, opponent hit six in every ball and i can't hit six. worst game ever!!!! i don't recommend to play rubbish like this????. and also when i win toss and try to select bat it doesn't work. worst game",LABEL_0,0.972920597,3-Jul-24,65,262,3.292307692,18
Real CricketÃÂ GO,this game is very nice its graphic and settings and all features is very good rc go is nice game but one problem change the stadium and climate and characters.,LABEL_2,0.887969255,18-Aug-24,31,159,4.193548387,14
Real CricketÃÂ GO,the worst game ever i recommended 0 star because our bowlers not be able to hit a six but the opposite do so what kind of game do you try to make .... just a kind of stupid who made this game such an idiot - and if we get batting the game is not start what a worst game and a wastage of time download it ????,LABEL_0,0.96537447,30-Aug-24,71,308,3.394366197,36
Real CricketÃÂ GO,highly pathetic game .... if we won toss and choose bat it won't work. also i can't hit stroke properly even if the ball is in range most of the time. i am giving 1 star because -5 star's option is unavailable.,LABEL_0,0.916827738,29-Aug-24,48,210,3.520833333,17
Real CricketÃÂ GO,"need some changes like review system &available player & match stats ,wagon wheel better graphics & add some more shots can make it to another level of cricket experience for last one month game automatically exit",LABEL_1,0.539840817,17-Aug-24,38,213,4.684210526,8
